player_name,season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game,recs_per_game,tds_per_game,production_score,vol_tier,spd_score,burst_rt,first_step,brake_rt,route_div,sep_consistency,man_win_rt,tracking,contested_rt,tight_tgt_pct,yac_ability,qb_friendly,sharp_cuts,route_bend,cut_sep,high_vol,dist_per_play,tot_explosive,explosive_rt,ath_score,rr_grade,prospect_score,archetype
Xavier Weaver,2022.0,FLSO,WR,98.0,759.0,21.0,54.0,26.0,23.0,0.0,0.0,17.0,20.83,20.2924,9.23,8.8728,17.13,19.17,20.83,1.02,2.03,2.12,2.2,57.14285714,0.0,17.34693878,,,-0.123877551,,7.7684292,14.2959822,4.5694236,15.7754884,1.29657086,,,,,False,True,0.0,Xavier Weaver,9.0,53.0,718.0,6.0,13.5,79.8,5.888888888888889,0.6666666666666666,65.0,50-100 (Rotational),20.5612,55.10204081632652,17.13,23.46938775510204,22.346938775999995,8.8728,2.12,-0.123877551,0.0,17.346938775510203,,,15.035735299999999,6.1689264,1.29657086,0,7.744897959183674,77.0,78.57142857142857,61.0387933339625,46.890588992597756,53.96469116328013,0.0
Quian Williams,2022.0,NYBU,WR,140.0,1092.0,29.0,54.0,24.0,28.0,0.0,0.0,18.0,20.2,18.99,11.333,10.37213333,16.24,18.58,18.85,1.02,2.09,6.803333333,2.755,52.14285714,1.428571429,12.14285714,,,-0.1238181818,,5.4544,13.7287248,6.604369333,14.5727932,0.5539277143,,,,,False,True,0.0,Quian Williams,13.0,61.0,743.0,5.0,12.2,57.2,4.6923076923076925,0.3846153846153846,45.65384615384615,100-150 (Starter),18.92,38.57142857142858,16.24,20.0,19.8571428556,10.37213333,6.803333333,-0.1238181818,0.0,12.857142857142856,,,14.150759,6.0293846665,0.5539277143,0,7.8,82.0,58.57142857142858,48.92611057160514,59.82961163772657,54.377861104665854,1.0
Ladd McConkey,2022.0,GAUN,WR,204.0,1618.0,37.0,91.0,63.0,63.0,0.0,0.0,21.0,21.44,20.8533,15.16857143,10.7546,17.81,20.07,21.44,1.02,2.05,,,50.49019608,0.0,21.56862745,,,-0.1711267606,,11.4388995,16.841824,3.1686655,18.088154,0.40474192,Ladd McConkey,2.0,34.0,2024.0,True,False,60.0,Ladd McConkey,15.0,58.0,762.0,7.0,13.1,50.8,3.8666666666666663,0.4666666666666667,42.46666666666667,200-300 (Workhorse),21.14665,44.6078431372549,17.81,30.88235294117647,21.617647059,10.7546,,-0.1711267606,0.0,10.294117647058822,,,17.464989,7.3037825,0.40474192,1,7.931372549019608,154.0,75.49019607843137,58.48051575506225,55.45222823800363,56.96637199653294,0.0
Jaden Bray,2022.0,OKST,WR,129.0,1096.0,22.0,68.0,28.0,35.0,0.0,0.0,35.0,20.71,19.6025,10.52,9.1675,17.26,19.2,19.06,1.02,2.1,,,58.91472868,0.7751937984,15.50387597,,,-0.3250980392,,10.803121,8.870218,3.259004,15.531404,0.4624978,,,,,False,True,0.0,Jaden Bray,3.0,5.0,54.0,0.0,10.8,18.0,1.6666666666666667,0.0,12.333333333333334,100-150 (Starter),19.331249999999997,52.71317829457365,17.26,27.131782945736433,22.63565891436,9.1675,,-0.3250980392,0.0,27.131782945736433,,,12.200811,7.031062500000001,0.4624978,0,8.496124031007753,103.0,79.84496124031007,56.15798205102459,49.54532891814628,52.851655484585436,0.0
Hudson Schenck,2022.0,UTWB,WR,85.0,509.0,18.0,34.0,24.0,14.0,0.0,0.0,1.0,20.23,20.0805,10.92,10.7682,16.15,19.14,20.0,1.03,2.1,,,38.82352941,1.176470588,9.411764706,,,-0.3468181818,,3.756718,12.388306,12.2724,12.5805736,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),20.04025,40.0,16.15,16.470588235294116,14.941176469999998,10.7682,,-0.3468181818,0.0,1.1764705882352942,,,12.4844398,8.014559,,0,5.988235294117647,48.0,56.470588235294116,53.057996528091984,47.82206219909304,50.440029363592515,1.0
Devron Harper,2022.0,GAME,WR,52.0,411.0,10.0,14.0,19.0,13.0,0.0,0.0,2.0,20.1,19.6002,11.927,11.11307,16.59,18.01,19.08,1.03,2.08,,,46.15384615,3.846153846,11.53846154,,,0.835,,7.8529724,16.2077498,7.5379808,17.8372518,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),19.3401,26.923076923076923,16.59,25.0,18.8461538454,11.11307,,0.835,0.0,3.8461538461538463,,,17.0225008,7.695476599999999,,0,7.903846153846154,27.0,51.92307692307693,45.362072089436374,53.858687528527355,49.61037980898186,1.0
Davon Wells,2022.0,NYCW,WR,68.0,540.0,7.0,30.0,12.0,5.0,0.0,0.0,2.0,20.72,19.8048,10.44,10.3552,16.67,18.87,16.62,1.03,2.24,,,64.70588235,0.0,5.882352941,,,-0.3133333333,,8.110011,14.7773332,3.446499,15.3964078,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),18.212400000000002,44.11764705882353,16.67,7.352941176470589,21.1764705873,10.3552,,-0.3133333333,0.0,2.941176470588235,,,15.0868705,5.778255,,0,7.9411764705882355,35.0,51.470588235294116,49.02261810709683,53.16241955513235,51.09251883111459,4.0
Xavier Worthy,2022.0,TXUN,WR,72.0,577.0,14.0,13.0,15.0,11.0,0.0,0.0,9.0,20.32,20.0491,9.14,8.24,17.27,19.33,19.53,1.03,2.09,1.32,0.15,51.38888889,0.0,2.777777778,,,-0.3229411765,,13.7941776,15.2873196,10.1806376,16.783189,1.890170767,Xavier Worthy,1.0,28.0,2024.0,True,False,70.0,Xavier Worthy,13.0,60.0,760.0,9.0,12.7,58.5,4.615384615384615,0.6923076923076923,52.30769230769231,50-100 (Rotational),19.78955,18.055555555555554,17.27,15.277777777777779,16.250000000399996,8.24,1.32,-0.3229411765,0.0,12.5,,,16.0352543,11.987407600000001,1.890170767,0,8.01388888888889,24.0,33.33333333333333,43.0576621240581,38.55139445176724,40.80452828791267,1.0
Mataio Talalemotu,2022.0,ORPS,WR,59.0,494.0,4.0,13.0,14.0,4.0,0.0,0.0,12.0,20.16,18.5532,10.26,10.12428,15.89,17.07,15.62,1.03,2.48,,,59.3220339,0.0,5.084745763,,,0.6453333333,,5.427128,13.0401068,7.697522,7.172536,,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),17.0866,22.033898305084744,15.89,6.779661016949152,19.322033898900003,10.12428,,0.6453333333,0.0,20.33898305084746,,,10.1063214,6.5623249999999995,,0,8.372881355932204,17.0,28.8135593220339,36.20448650842515,49.996171906541534,43.10032920748334,3.0
Shane Dailey Jr.,2022.0,IDST,WR,100.0,774.0,19.0,49.0,19.0,24.0,0.0,0.0,12.0,20.84,20.6726,12.87,11.1904,17.26,19.32,20.17,1.03,2.15,,,51.0,2.0,17.0,,,-0.1315789474,,9.030441,8.8388552,8.5207955,10.2638172,2.172923,,,,,False,True,0.0,,,,,,,,,,,50-100 (Rotational),20.421300000000002,49.0,17.26,24.0,21.199999999999996,11.1904,,-0.1315789474,0.0,12.0,,,9.5513362,8.77561825,2.172923,0,7.74,73.0,73.0,58.03670796863412,56.915101226864536,57.47590459774933,0.0
